,Unnamed: 0,score,id,Title,Parent,Parent Slug,secondary,count
230,898,251.2,2267,Joint VA Loans: What They Are and What You Need to Know,154,home/va,home,7
231,337,251.2,3098,The Pros and Cons of Debt Consolidation Options,138,debt-consolidation,debt-consolidation,7
232,545,250.3,3523,Ups and Downs of Down Payments,7449,home/mortgage/down-payment,home/mortgage,8
233,760,250.2,7945,How to Find the Best Refinance Companies for Mortgages in 2018,150,home/refinance,home,6
234,365,249.1,2342,Buy a House at Half Price Through HUD’s Good Neighbor Next Door Program,27,home/fha,home,7
235,704,248.9,5554,Why It Can Be Difficult to Get Small Mortgage Loans,146,home/mortgage,home,6
236,53,244.3,26513,Places That Buy the Oldest Used Cars,99,auto,auto,8
237,446,243.5,3294,Second Mortgage: What You Need to Know,142,home/home-equity,home,8
238,191,239.5,3962,The Pros and Cons of Small Business Administration (SBA) Business Loans,8015,business/sba,business,6
239,357,235.6,26132,Metros With the Most Fraud Alerts,176,finance,finance,12
240,1035,235.5,12812,How to Find Grants to Pay Off Student Loans,168,student,student,8
241,573,233.3,3498,How Much to Put Down On a Home,146,home/mortgage,home,7
242,802,230.0,3357,Can I Refinance a Mortgage When my Home is for Sale?,150,home/refinance,home,6
243,593,229.7,3500,Interest-Only Mortgages: What You Need to Know,146,home/mortgage,home,6
244,730,223.6,18403,Understanding Stated-Income Loans,146,home/mortgage,home,6
245,384,223.0,13584,Can You Have More Than One FHA Loan at the Same Time?,27,home/fha,home,6
246,1093,222.3,1059,Student Loan Options: Federal vs Private Loans,168,student,student,7
247,250,222.1,5762,Loans for Bad Credit,20369,credit-repair,credit-repair,9
248,415,220.8,3315,Using a Home Equity Loan to Pay Off Credit Cards Quickly,7471,home/home-equity/heloc,home/home-equity,9
249,744,220.0,19303,LendingTree’s State Migration Study Finds Homebuyers Heading South,146,home/mortgage,home,6
250,413,216.9,3316,Top 10 HELOC FAQs,7471,home/home-equity/heloc,home/home-equity,9
251,367,215.8,2364,FHA Cash-out Refinance Loans,27,home/fha,home,6
252,755,215.0,23661,LendingTree Ranks Most Popular Cities for Millennial Homebuyers,25,home,home/mortgage,5
253,456,214.3,12660,18 Frequently Asked Mortgage Questions,146,home/mortgage,home,6
254,418,211.7,3298,Reverse Mortgage vs HELOC: Which Is Better for Me?,7471,home/home-equity/heloc,home/home-equity,9
255,951,211.7,7827,How to Apply for a Personal Loan,164,personal,personal,8
256,788,211.0,3356,How Often Can You Refinance Your Home?,150,home/refinance,home,6
257,873,210.5,7846,Selling a House with a Reverse Mortgage,234,home/reverse,home,7
258,583,210.4,3455,How to Get Preapproved for a Home Loan,146,home/mortgage,home,12
259,678,210.3,29073,Mortgage Borrowers Could Save the Most Ever by Shopping Around,5299,home/mortgage/rates,home/mortgage,7
260,569,209.7,3506,How much can you afford to borrow?,146,home/mortgage,home,6
261,230,208.3,6063,How Chip Cards Work,133,credit-cards/tips,credit-cards,7
262,203,207.7,3559,Understanding Small Business Loan Requirements,8474,business/small,business,10
263,310,207.2,3075,Debt Consolidation vs Bankruptcy: Which is Better?,138,debt-consolidation,debt-consolidation,6
264,290,207.2,3063,Finding the Best Debt Consolidation Companies,138,debt-consolidation,debt-consolidation,19
265,291,206.1,3087,How to Avoid Debt Consolidation Scams,138,debt-consolidation,debt-consolidation,7
266,629,206.0,21526,LendingTree Ranks Most Competitive Housing Markets,146,home/mortgage,home,6
267,978,206.0,30265,LendingTree Study: Shopping Around for Personal Loans Can Save Consumers 35%,164,personal,personal,8
268,562,204.4,12617,Home Renovation Loan Options,146,home/mortgage,home,7
